ship_roll	ship_pitch	ship_yaw	d1	theta2	theta3	d4	theta5	theta6	theta7	catcher	x	y	z	drone_roll	drone_pitch	drone_yaw
0	0	0	50	0	90	50	0	0	-180	0	400	-750	0	0	0	0
0	0	0	50	0	90	50	0	0	-176.4	0	400	-750	0	0	0	0
0	0	0	50	0	90	50	0	0	-172.8	0	400	-750	0	0	0	0
0	0	0	50	0	90	50	0	0	-169.2	0	400	-750	0	0	0	0
0	0	0	50	0	90	50	0	0	-165.6	0	400	-750	0	0	0	0
0	0	0	50	0	90	50	0	0	-162	0	400	-750	0	0	0	0
0	0	0	50	0	90	50	0	0	-158.4	0	400	-750	0	0	0	0
0	0	0	50	0	90	50	0	0	-154.8	0	400	-750	0	0	0	0
0	0	0	50	0	90	50	0	0	-151.2	0	400	-750	0	0	0	0
0	0	0	50	0	90	50	0	0	-147.6	0	400	-750	0	0	0	0
0	0	0	50	0	90	50	0	0	-144	0	400	-750	0	0	0	0
0	0	0	50	0	90	50	0	0	-140.4	0	400	-750	0	0	0	0
0	0	0	50	0	90	50	0	0	-136.8	0	400	-750	0	0	0	0
0	0	0	50	0	90	50	0	0	-133.2	0	400	-750	0	0	0	0
0	0	0	50	0	90	50	0	0	-129.6	0	400	-750	0	0	0	0
0	0	0	50	0	90	50	0	0	-126	0	400	-750	0	0	0	0
0	0	0	50	0	90	50	0	0	-122.4	0	400	-750	0	0	0	0
0	0	0	50	0	90	50	0	0	-118.8	0	400	-750	0	0	0	0
0	0	0	50	0	90	50	0	0	-115.2	0	400	-750	0	0	0	0
0	0	0	50	0	90	50	0	0	-111.6	0	400	-750	0	0	0	0
0	0	0	50	0	90	50	0	0	-108	0	400	-750	0	0	0	0
0	0	0	50	0	90	50	0	0	-104.4	0	400	-750	0	0	0	0
0	0	0	50	0	90	50	0	0	-100.8	0	400	-750	0	0	0	0
0	0	0	50	0	90	50	0	0	-97.2	0	400	-750	0	0	0	0
0	0	0	50	0	90	50	0	0	-93.6	0	400	-750	0	0	0	0
0	0	0	50	0	90	50	0	0	-90	0	400	-750	0	0	0	0
0	0	0	50	0	90	50	0	0	-86.4	0	400	-750	0	0	0	0
0	0	0	50	0	90	50	0	0	-82.8	0	400	-750	0	0	0	0
0	0	0	50	0	90	50	0	0	-79.2	0	400	-750	0	0	0	0
0	0	0	50	0	90	50	0	0	-75.6	0	400	-750	0	0	0	0
0	0	0	50	0	90	50	0	0	-72	0	400	-750	0	0	0	0
0	0	0	50	0	90	50	0	0	-68.4	0	400	-750	0	0	0	0
0	0	0	50	0	90	50	0	0	-64.8	0	400	-750	0	0	0	0
0	0	0	50	0	90	50	0	0	-61.2	0	400	-750	0	0	0	0
0	0	0	50	0	90	50	0	0	-57.6	0	400	-750	0	0	0	0
0	0	0	50	0	90	50	0	0	-54	0	400	-750	0	0	0	0
0	0	0	50	0	90	50	0	0	-50.4	0	400	-750	0	0	0	0
0	0	0	50	0	90	50	0	0	-46.8	0	400	-750	0	0	0	0
0	0	0	50	0	90	50	0	0	-43.2	0	400	-750	0	0	0	0
0	0	0	50	0	90	50	0	0	-39.6	0	400	-750	0	0	0	0
0	0	0	50	0	90	50	0	0	-36	0	400	-750	0	0	0	0
0	0	0	50	0	90	50	0	0	-32.4	0	400	-750	0	0	0	0
0	0	0	50	0	90	50	0	0	-28.8	0	400	-750	0	0	0	0
0	0	0	50	0	90	50	0	0	-25.2	0	400	-750	0	0	0	0
0	0	0	50	0	90	50	0	0	-21.6	0	400	-750	0	0	0	0
0	0	0	50	0	90	50	0	0	-18	0	400	-750	0	0	0	0
0	0	0	50	0	90	50	0	0	-14.4	0	400	-750	0	0	0	0
0	0	0	50	0	90	50	0	0	-10.8	0	400	-750	0	0	0	0
0	0	0	50	0	90	50	0	0	-7.2	0	400	-750	0	0	0	0
0	0	0	50	0	90	50	0	0	-3.6	0	400	-750	0	0	0	0
0	0	0	50	0	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	50	0	90	50	0	0	3.6	0	400	-750	0	0	0	0
0	0	0	50	0	90	50	0	0	7.2	0	400	-750	0	0	0	0
0	0	0	50	0	90	50	0	0	10.8	0	400	-750	0	0	0	0
0	0	0	50	0	90	50	0	0	14.4	0	400	-750	0	0	0	0
0	0	0	50	0	90	50	0	0	18	0	400	-750	0	0	0	0
0	0	0	50	0	90	50	0	0	21.6	0	400	-750	0	0	0	0
0	0	0	50	0	90	50	0	0	25.2	0	400	-750	0	0	0	0
0	0	0	50	0	90	50	0	0	28.8	0	400	-750	0	0	0	0
0	0	0	50	0	90	50	0	0	32.4	0	400	-750	0	0	0	0
0	0	0	50	0	90	50	0	0	36	0	400	-750	0	0	0	0
0	0	0	50	0	90	50	0	0	39.6	0	400	-750	0	0	0	0
