ship_roll	ship_pitch	ship_yaw	d1	theta2	theta3	d4	theta5	theta6	theta7	catcher	x	y	z	drone_roll	drone_pitch	drone_yaw
0	0	0	50	0	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	50	0	90	50	0	-0.441176470588235	0	0	400	-750	0	0	0	0
0	0	0	50	0	90	50	0	-0.882352941176471	0	0	400	-750	0	0	0	0
0	0	0	50	0	90	50	0	-1.32352941176471	0	0	400	-750	0	0	0	0
0	0	0	50	0	90	50	0	-1.76470588235294	0	0	400	-750	0	0	0	0
0	0	0	50	0	90	50	0	-2.20588235294118	0	0	400	-750	0	0	0	0
0	0	0	50	0	90	50	0	-2.64705882352941	0	0	400	-750	0	0	0	0
0	0	0	50	0	90	50	0	-3.08823529411765	0	0	400	-750	0	0	0	0
0	0	0	50	0	90	50	0	-3.52941176470588	0	0	400	-750	0	0	0	0
0	0	0	50	0	90	50	0	-3.97058823529412	0	0	400	-750	0	0	0	0
0	0	0	50	0	90	50	0	-4.41176470588235	0	0	400	-750	0	0	0	0
0	0	0	50	0	90	50	0	-4.85294117647059	0	0	400	-750	0	0	0	0
0	0	0	50	0	90	50	0	-5.29411764705882	0	0	400	-750	0	0	0	0
0	0	0	50	0	90	50	0	-5.73529411764706	0	0	400	-750	0	0	0	0
0	0	0	50	0	90	50	0	-6.17647058823529	0	0	400	-750	0	0	0	0
0	0	0	50	0	90	50	0	-6.61764705882353	0	0	400	-750	0	0	0	0
0	0	0	50	0	90	50	0	-7.05882352941176	0	0	400	-750	0	0	0	0
0	0	0	50	0	90	50	0	-7.5	0	0	400	-750	0	0	0	0
0	0	0	50	0	90	50	0	-7.94117647058824	0	0	400	-750	0	0	0	0
0	0	0	50	0	90	50	0	-8.38235294117647	0	0	400	-750	0	0	0	0
0	0	0	50	0	90	50	0	-8.82352941176471	0	0	400	-750	0	0	0	0
0	0	0	50	0	90	50	0	-9.26470588235294	0	0	400	-750	0	0	0	0
0	0	0	50	0	90	50	0	-9.70588235294118	0	0	400	-750	0	0	0	0
0	0	0	50	0	90	50	0	-10.1470588235294	0	0	400	-750	0	0	0	0
0	0	0	50	0	90	50	0	-10.5882352941176	0	0	400	-750	0	0	0	0
0	0	0	50	0	90	50	0	-11.0294117647059	0	0	400	-750	0	0	0	0
0	0	0	50	0	90	50	0	-11.4705882352941	0	0	400	-750	0	0	0	0
0	0	0	50	0	90	50	0	-11.9117647058824	0	0	400	-750	0	0	0	0
0	0	0	50	0	90	50	0	-12.3529411764706	0	0	400	-750	0	0	0	0
0	0	0	50	0	90	50	0	-12.7941176470588	0	0	400	-750	0	0	0	0
0	0	0	50	0	90	50	0	-13.2352941176471	0	0	400	-750	0	0	0	0
0	0	0	50	0	90	50	0	-13.6764705882353	0	0	400	-750	0	0	0	0
