ship_roll	ship_pitch	ship_yaw	d1	theta2	theta3	d4	theta5	theta6	theta7	catcher	x	y	z	drone_roll	drone_pitch	drone_yaw
0	0	0	50	0	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	50	-3.52941176470588	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	50	-7.05882352941176	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	50	-10.5882352941176	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	50	-14.1176470588235	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	50	-17.6470588235294	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	50	-21.1764705882353	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	50	-24.7058823529412	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	50	-28.2352941176471	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	50	-31.7647058823529	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	50	-35.2941176470588	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	50	-38.8235294117647	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	50	-42.3529411764706	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	50	-45.8823529411765	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	50	-49.4117647058824	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	50	-52.9411764705882	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	50	-56.4705882352941	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	50	-60	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	50	-63.5294117647059	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	50	-67.0588235294118	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	50	-70.5882352941177	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	50	-74.1176470588235	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	50	-77.6470588235294	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	50	-81.1764705882353	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	50	-84.7058823529412	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	50	-88.2352941176471	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	50	-91.7647058823529	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	50	-95.2941176470588	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	50	-98.8235294117647	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	50	-102.352941176471	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	50	-105.882352941176	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	50	-109.411764705882	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	50	-112.941176470588	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	50	-116.470588235294	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	50	-120	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	50	-123.529411764706	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	50	-127.058823529412	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	50	-130.588235294118	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	50	-134.117647058824	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	50	-137.647058823529	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	50	-141.176470588235	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	50	-144.705882352941	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	50	-148.235294117647	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	50	-151.764705882353	90	50	0	0	0	0	400	-750	0	0	0	0
0	0	0	50	-155.294117647059	90	50	0	0	0	0	400	-750	0	0	0	0
